pune,Inox Cinema Bund Garden Road,Big Cinemas Kalyani Nagar,Fun Square Multiplex Wagholi,City Pride R Deccan Multiplex,E Square Multiplex University Road,JAI Hind Cinema Khadki Railway Station,Big Cinemas Chinchwad
hyderabad,Inox GVK One Mall Banjara Hills,PVR Cinema Punjagutta,PVR Cinemas Inorbit Mall Madhapur,Asian Cine Square Multiplex Uppal,Cinepolis Mantra Mall Attapur,PVR Next Galleria Mall Panjagutta,PVR 4DX Irrum Manzil
bangaluru,PVR Cinemas Forum Mall Koramangala,PVR Cinemas Orion Mall Malleswaram,INOX Cinemas Forum Neighbourhood Mall Whitefield Main Road,PVR Cinemas Elements Mall Nagawara,PVR Cinemas Vaishnavi Sapphire Mall Yeshwanthpur,Cinepolis Cinemas Eta Mall Binnypete,Galaxy Paradise Theatre Begur Road
kolkata,RANG RUP New Complex Dharmatala,CHABIGHAR CINEMA HALL Mahatma Gandhi Road Baithakkhana,LONDON PARIS MULTIPLEX Gariahat Road Ballygunge,BROADWAY MULTIPLEX Sector III Salt Lake City,PVR CINEMAS Avani Riverside Mall,CINEMAX Mani Square Mal,PARADISE CINEMA Esplanade
delhi,BATRA REELS CINEMA Grand Mall New Friends Colony,D. T. STAR CINEMAS DLF Place Mall SAKET,DELITE Asaf Ali Road,M2K M2K Mall ROHINI,MOVIE TIME North Pacific Mall PITAMPURA,PVR East Delhi Mall Ghaziabad,SATYAM CINEPLEXES PATEL NAGAR
chennai,Jothi Cinema Hall-Alandur,PVR-Ampa Sky Walk Mall,PVR-VR Chennai Mall Anna Nagar,S2 Cinema-Spectrum The Great Venus Mall Perambur,Shree Radha Movie Park-Redhills,SPI Sathyam Cinemas-Royalpettah
mumbai,Galaxy Cinema G7 Bandra West,Inox Cinemas Glomax Kharghar,INOX Cinemas Metro Ebony Marine Lines East,Mukta A2 KMall Panvel,PVR 4DX Cinema Kurla West,PVR Beverly Park Mira Road Mira-Road East
